id,schedule_id,route_stop_id,arrival_time,departure_time,is_boarding_allowed,is_dropping_allowed,created_at
cefa40f5-a910-5466-9868-d7464fb3d9f1,53220a90-ee01-5210-99e2-e0387975cccc,e59ba1c8-1798-5ee2-93d5-06db16def156,06:00:00,06:00:00,true,false,2026-09-01T09:00:00+05:30
62788bbf-b5f5-540f-a2d7-ee936b3e8237,53220a90-ee01-5210-99e2-e0387975cccc,d3edd848-e47a-55f7-a81e-6c536814ae9e,11:00:00,11:10:00,true,true,2026-09-01T09:00:00+05:30
867f9d75-2471-5cb7-b757-740598b5dd2c,53220a90-ee01-5210-99e2-e0387975cccc,04aedd4a-9949-5896-b4c1-586312eef921,13:30:00,13:40:00,true,true,2026-09-01T09:00:00+05:30
b4f48ca1-3e18-5947-af4b-488846c09b2e,53220a90-ee01-5210-99e2-e0387975cccc,2f1514d9-f73e-50a2-94ae-8b5ef444f1a9,16:00:00,16:00:00,false,true,2026-09-01T09:00:00+05:30
bb9f4217-89cf-5bd5-9263-3f3091001bd1,f29c41d0-0cea-55fb-b228-22f33901e91e,e59ba1c8-1798-5ee2-93d5-06db16def156,09:30:00,09:30:00,true,false,2026-09-01T09:00:00+05:30
22ec5351-e472-529c-b9bd-60a1794a3997,f29c41d0-0cea-55fb-b228-22f33901e91e,d3edd848-e47a-55f7-a81e-6c536814ae9e,14:30:00,14:40:00,true,true,2026-09-01T09:00:00+05:30
d0035194-452d-5e90-860d-358eca5e97ff,f29c41d0-0cea-55fb-b228-22f33901e91e,04aedd4a-9949-5896-b4c1-586312eef921,17:00:00,17:10:00,true,true,2026-09-01T09:00:00+05:30
af7c8bf3-c5b2-515b-b999-aad08d03c5a5,f29c41d0-0cea-55fb-b228-22f33901e91e,2f1514d9-f73e-50a2-94ae-8b5ef444f1a9,19:30:00,19:30:00,false,true,2026-09-01T09:00:00+05:30
a7fe6bb5-bc51-54bb-8d8b-6fa1bd39c445,8e6feba3-ea09-5637-ac80-f9ed1160462e,e59ba1c8-1798-5ee2-93d5-06db16def156,14:00:00,14:00:00,true,false,2026-09-01T09:00:00+05:30
f34ed455-57b1-537e-a7e2-d18489c63055,8e6feba3-ea09-5637-ac80-f9ed1160462e,d3edd848-e47a-55f7-a81e-6c536814ae9e,19:00:00,19:10:00,true,true,2026-09-01T09:00:00+05:30
7d6c690b-fa0f-5633-b71b-519e7b5c4096,8e6feba3-ea09-5637-ac80-f9ed1160462e,04aedd4a-9949-5896-b4c1-586312eef921,21:30:00,21:40:00,true,true,2026-09-01T09:00:00+05:30
63e2e6e1-a1fc-5fcc-bd6b-337cb984898f,8e6feba3-ea09-5637-ac80-f9ed1160462e,2f1514d9-f73e-50a2-94ae-8b5ef444f1a9,00:00:00,00:00:00,false,true,2026-09-01T09:00:00+05:30
fbb6eca2-48b1-54ab-9dc0-1ddc2498c933,7b0a2944-bb4a-5ebd-b079-f75946a55a60,e59ba1c8-1798-5ee2-93d5-06db16def156,18:00:00,18:00:00,true,false,2026-09-01T09:00:00+05:30
6e7aa871-fb7b-5c90-bbdc-462eb610c828,7b0a2944-bb4a-5ebd-b079-f75946a55a60,d3edd848-e47a-55f7-a81e-6c536814ae9e,23:00:00,23:10:00,true,true,2026-09-01T09:00:00+05:30
89e03b67-4f4d-5400-9b6a-fa22138b7e48,7b0a2944-bb4a-5ebd-b079-f75946a55a60,04aedd4a-9949-5896-b4c1-586312eef921,01:30:00,01:40:00,true,true,2026-09-01T09:00:00+05:30
e1d66f53-5c9f-5836-bafc-ca367b221ac6,7b0a2944-bb4a-5ebd-b079-f75946a55a60,2f1514d9-f73e-50a2-94ae-8b5ef444f1a9,04:00:00,04:00:00,false,true,2026-09-01T09:00:00+05:30
6a095504-700b-5a9d-b21f-d28c202d034e,51101c27-cbad-57ff-816c-34f7ec380751,e59ba1c8-1798-5ee2-93d5-06db16def156,20:30:00,20:30:00,true,false,2026-09-01T09:00:00+05:30
ce746f2d-6099-54b9-988b-c326c7248637,51101c27-cbad-57ff-816c-34f7ec380751,d3edd848-e47a-55f7-a81e-6c536814ae9e,01:30:00,01:40:00,true,true,2026-09-01T09:00:00+05:30
c9436bf8-71fc-576f-b7b7-9e66d4520290,51101c27-cbad-57ff-816c-34f7ec380751,04aedd4a-9949-5896-b4c1-586312eef921,04:00:00,04:10:00,true,true,2026-09-01T09:00:00+05:30
8661d544-4f00-5e29-91c2-fd4803afaa96,51101c27-cbad-57ff-816c-34f7ec380751,2f1514d9-f73e-50a2-94ae-8b5ef444f1a9,06:30:00,06:30:00,false,true,2026-09-01T09:00:00+05:30
bdc894b7-532c-50ca-8b77-943ee48118c6,db6b0990-4583-5ebd-a6fb-bf3598dd63c0,e59ba1c8-1798-5ee2-93d5-06db16def156,09:30:00,09:30:00,true,false,2026-09-01T09:00:00+05:30
92f79d55-5da3-57dc-ac2f-2cfb92305e26,db6b0990-4583-5ebd-a6fb-bf3598dd63c0,d3edd848-e47a-55f7-a81e-6c536814ae9e,14:30:00,14:40:00,true,true,2026-09-01T09:00:00+05:30
dc6c5b54-591c-5697-ac73-df7fea279209,db6b0990-4583-5ebd-a6fb-bf3598dd63c0,04aedd4a-9949-5896-b4c1-586312eef921,17:00:00,17:10:00,true,true,2026-09-01T09:00:00+05:30
f8ff2186-d262-5087-b501-f693616529e6,db6b0990-4583-5ebd-a6fb-bf3598dd63c0,2f1514d9-f73e-50a2-94ae-8b5ef444f1a9,19:30:00,19:30:00,false,true,2026-09-01T09:00:00+05:30
0c734130-2036-5e5e-964a-3a015cc212db,7ed3590b-12fa-54a0-8cb7-ab41d92a0278,e59ba1c8-1798-5ee2-93d5-06db16def156,14:00:00,14:00:00,true,false,2026-09-01T09:00:00+05:30
74c2d5c6-ca73-5642-bedf-a7895378ecd3,7ed3590b-12fa-54a0-8cb7-ab41d92a0278,d3edd848-e47a-55f7-a81e-6c536814ae9e,19:00:00,19:10:00,true,true,2026-09-01T09:00:00+05:30
d94c8a5e-c736-5ea4-b05e-8f33516761ca,7ed3590b-12fa-54a0-8cb7-ab41d92a0278,04aedd4a-9949-5896-b4c1-586312eef921,21:30:00,21:40:00,true,true,2026-09-01T09:00:00+05:30
8c2345d5-23d5-5071-8037-b0c5379172ef,7ed3590b-12fa-54a0-8cb7-ab41d92a0278,2f1514d9-f73e-50a2-94ae-8b5ef444f1a9,00:00:00,00:00:00,false,true,2026-09-01T09:00:00+05:30
739389eb-ac30-5433-a50e-32ba8e7b7fec,2c94bc58-a239-54b5-8391-76759584db56,e59ba1c8-1798-5ee2-93d5-06db16def156,18:00:00,18:00:00,true,false,2026-09-01T09:00:00+05:30
30ffb00f-86ff-549c-97a5-7ac22ec404ee,2c94bc58-a239-54b5-8391-76759584db56,d3edd848-e47a-55f7-a81e-6c536814ae9e,23:00:00,23:10:00,true,true,2026-09-01T09:00:00+05:30
2673ebb5-1875-5979-bee3-5811fa2e1866,2c94bc58-a239-54b5-8391-76759584db56,04aedd4a-9949-5896-b4c1-586312eef921,01:30:00,01:40:00,true,true,2026-09-01T09:00:00+05:30
7a036328-8355-56d4-8ed6-fef86d2f07c0,2c94bc58-a239-54b5-8391-76759584db56,2f1514d9-f73e-50a2-94ae-8b5ef444f1a9,04:00:00,04:00:00,false,true,2026-09-01T09:00:00+05:30
aa7afd08-94c4-50c8-ac2c-5c0a41febdf5,4eed0ca2-04b7-5aa0-bf2f-aeca8e52820d,e59ba1c8-1798-5ee2-93d5-06db16def156,20:30:00,20:30:00,true,false,2026-09-01T09:00:00+05:30
