id,bus_id,seat_number,seat_type,row_number,column_number,is_active,created_at
cb6ec185-5895-5e6d-a31f-a02108cc067e,d4dbebd9-c216-5978-9296-e1f221f76e5a,L1,LOWER,1,1,true,2025-02-01T09:00:00+05:30
42ef1c0b-750e-5758-ba70-b7d676a35bf1,d4dbebd9-c216-5978-9296-e1f221f76e5a,L2,LOWER,2,1,true,2025-02-01T09:00:00+05:30
7cb41485-f8c9-5711-9867-f797ac7b4a27,d4dbebd9-c216-5978-9296-e1f221f76e5a,L3,LOWER,3,1,true,2025-02-01T09:00:00+05:30
7179255d-c59a-57b1-9c62-c3395825e164,d4dbebd9-c216-5978-9296-e1f221f76e5a,L4,LOWER,4,1,true,2025-02-01T09:00:00+05:30
c897f2d7-0507-54af-8abd-764d568c792d,d4dbebd9-c216-5978-9296-e1f221f76e5a,L5,LOWER,5,1,true,2025-02-01T09:00:00+05:30
1517f7fa-bdb4-52bb-b63e-7053a5a03960,d4dbebd9-c216-5978-9296-e1f221f76e5a,L6,LOWER,6,1,true,2025-02-01T09:00:00+05:30
90651c6b-2b67-578c-a88c-867c5ec4471a,d4dbebd9-c216-5978-9296-e1f221f76e5a,L7,LOWER,7,1,true,2025-02-01T09:00:00+05:30
393fc0cf-820e-53d6-b294-2c13195cc2de,d4dbebd9-c216-5978-9296-e1f221f76e5a,L8,LOWER,8,1,true,2025-02-01T09:00:00+05:30
8edb030e-39ac-566e-8ba8-88352df7389f,d4dbebd9-c216-5978-9296-e1f221f76e5a,L9,LOWER,9,1,true,2025-02-01T09:00:00+05:30
fc6b1c9d-58b8-518f-bc6e-a2f754e2f7f1,d4dbebd9-c216-5978-9296-e1f221f76e5a,L10,LOWER,10,1,true,2025-02-01T09:00:00+05:30
110c688a-5b4f-55cd-90f5-681a00df4a01,d4dbebd9-c216-5978-9296-e1f221f76e5a,L11,LOWER,11,1,true,2025-02-01T09:00:00+05:30
d5694258-b7d3-59e5-a434-ed41da02a879,d4dbebd9-c216-5978-9296-e1f221f76e5a,L12,LOWER,12,1,true,2025-02-01T09:00:00+05:30
