id,schedule_id,boarding_stop_id,dropping_stop_id,amount,currency,is_active,created_at,updated_at
e17f6b49-0165-5a46-8bd0-34e1cd3abfa6,53220a90-ee01-5210-99e2-e0387975cccc,e59ba1c8-1798-5ee2-93d5-06db16def156,d3edd848-e47a-55f7-a81e-6c536814ae9e,480.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
36a3ee94-5701-5b1d-826d-bf865f1a147c,53220a90-ee01-5210-99e2-e0387975cccc,e59ba1c8-1798-5ee2-93d5-06db16def156,04aedd4a-9949-5896-b4c1-586312eef921,815.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
9c5978d7-c8d2-5367-80aa-9e90d8c10599,53220a90-ee01-5210-99e2-e0387975cccc,e59ba1c8-1798-5ee2-93d5-06db16def156,2f1514d9-f73e-50a2-94ae-8b5ef444f1a9,1270.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
1377b438-676f-51bb-8509-ca02b40542da,53220a90-ee01-5210-99e2-e0387975cccc,d3edd848-e47a-55f7-a81e-6c536814ae9e,04aedd4a-9949-5896-b4c1-586312eef921,335.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
152894cb-773a-5c33-b096-526d6cc84003,53220a90-ee01-5210-99e2-e0387975cccc,d3edd848-e47a-55f7-a81e-6c536814ae9e,2f1514d9-f73e-50a2-94ae-8b5ef444f1a9,790.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
b54b391d-cb5e-5fe2-a035-5e1ad036c2d2,53220a90-ee01-5210-99e2-e0387975cccc,04aedd4a-9949-5896-b4c1-586312eef921,2f1514d9-f73e-50a2-94ae-8b5ef444f1a9,455.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
846736fe-8562-51f8-abf5-13d887174622,f29c41d0-0cea-55fb-b228-22f33901e91e,e59ba1c8-1798-5ee2-93d5-06db16def156,d3edd848-e47a-55f7-a81e-6c536814ae9e,450.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
40d501ee-36ce-5071-a852-f94bf65ffca3,f29c41d0-0cea-55fb-b228-22f33901e91e,e59ba1c8-1798-5ee2-93d5-06db16def156,04aedd4a-9949-5896-b4c1-586312eef921,765.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
8ef9367b-ba6f-5a02-9446-3f7323a95068,f29c41d0-0cea-55fb-b228-22f33901e91e,e59ba1c8-1798-5ee2-93d5-06db16def156,2f1514d9-f73e-50a2-94ae-8b5ef444f1a9,1195.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
986f239c-bef1-54ad-99ec-89f9d96954b0,f29c41d0-0cea-55fb-b228-22f33901e91e,d3edd848-e47a-55f7-a81e-6c536814ae9e,04aedd4a-9949-5896-b4c1-586312eef921,315.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
8b5aba23-6970-5c80-a193-ffa01ef21aad,f29c41d0-0cea-55fb-b228-22f33901e91e,d3edd848-e47a-55f7-a81e-6c536814ae9e,2f1514d9-f73e-50a2-94ae-8b5ef444f1a9,745.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
8cf262b3-7d7d-58e5-847e-efd0e51b6d97,f29c41d0-0cea-55fb-b228-22f33901e91e,04aedd4a-9949-5896-b4c1-586312eef921,2f1514d9-f73e-50a2-94ae-8b5ef444f1a9,430.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
894c5f2c-a1c4-5c42-b95a-4266f831b44e,8e6feba3-ea09-5637-ac80-f9ed1160462e,e59ba1c8-1798-5ee2-93d5-06db16def156,d3edd848-e47a-55f7-a81e-6c536814ae9e,460.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
47753237-7eab-5318-86fe-a5e346971960,8e6feba3-ea09-5637-ac80-f9ed1160462e,e59ba1c8-1798-5ee2-93d5-06db16def156,04aedd4a-9949-5896-b4c1-586312eef921,785.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
06e8f827-4c6c-5947-b01c-58db80b1bac0,8e6feba3-ea09-5637-ac80-f9ed1160462e,e59ba1c8-1798-5ee2-93d5-06db16def156,2f1514d9-f73e-50a2-94ae-8b5ef444f1a9,1225.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
a4ee688c-9839-5f7e-8048-9b4e3dde74fa,8e6feba3-ea09-5637-ac80-f9ed1160462e,d3edd848-e47a-55f7-a81e-6c536814ae9e,04aedd4a-9949-5896-b4c1-586312eef921,325.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
6bd62f7f-9035-59b1-9670-f5fc0c49a505,8e6feba3-ea09-5637-ac80-f9ed1160462e,d3edd848-e47a-55f7-a81e-6c536814ae9e,2f1514d9-f73e-50a2-94ae-8b5ef444f1a9,765.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
5869c474-f8f7-598a-b5a9-fcc9619e05ac,8e6feba3-ea09-5637-ac80-f9ed1160462e,04aedd4a-9949-5896-b4c1-586312eef921,2f1514d9-f73e-50a2-94ae-8b5ef444f1a9,440.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
b012f6e9-24d1-53d1-9b5d-2264a7157275,7b0a2944-bb4a-5ebd-b079-f75946a55a60,e59ba1c8-1798-5ee2-93d5-06db16def156,d3edd848-e47a-55f7-a81e-6c536814ae9e,460.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
3929468c-b3a0-5335-92f3-634d961028be,7b0a2944-bb4a-5ebd-b079-f75946a55a60,e59ba1c8-1798-5ee2-93d5-06db16def156,04aedd4a-9949-5896-b4c1-586312eef921,780.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
54e74598-4e78-5737-af32-c8731e0e26c2,7b0a2944-bb4a-5ebd-b079-f75946a55a60,e59ba1c8-1798-5ee2-93d5-06db16def156,2f1514d9-f73e-50a2-94ae-8b5ef444f1a9,1220.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
dfbfa3b7-34e4-59f6-9f05-646b43414fdb,7b0a2944-bb4a-5ebd-b079-f75946a55a60,d3edd848-e47a-55f7-a81e-6c536814ae9e,04aedd4a-9949-5896-b4c1-586312eef921,320.00,INR,true,2026-09-01T09:00:00+05:30,2026-09-01T09:00:00+05:30
